Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Ship Date,Year,Month
1344.0,2012-04-15,123445,18,2480.9205,0.01,Regular Air,313.57800000000003,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,2012-04-19 00:00:00,2012,4
1412.0,2010-03-12,Not Specified,13,XYZ59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,2010-03-14 00:00:00,2010,3
1412.0,2010-03-12,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,2010-03-14 00:00:00,2010,3
1539.0,2011-03-09,Low,33,511.83,0.1,Regular Air,-172.8795,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,2011-03-11 00:00:00,2011,3
1539.0,2011-03-09,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,2011-03-14 00:00:00,2011,3
1540.0,2012-08-04,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,2012-08-06 00:00:00,2012,8
1702.0,2011-05-06,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accentâ¢ Tank-Style Highlighters,Wrap Bag,2011-05-07 00:00:00,2011,5
1761.0,2010-12-23,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,2010-12-25 00:00:00,2010,12
1792.0,2010-11-08,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,2010-11-13 00:00:00,2010,11
2275.0,2012-10-21,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-EraseÂ® Pencils with Erasers,Wrap Bag,2012-10-22 00:00:00,2012,10
2277.0,2011-01-01,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,2011-01-02 00:00:00,2011,1
2277.0,2011-01-01,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,2011-01-03 00:00:00,2011,1
2532.0,2011-10-10,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,2011-10-11 00:00:00,2011,10
2532.0,2011-10-10,High,24,426.03700000000003,0.01,Regular Air,-78.958,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,2011-10-11 00:00:00,2011,10
2631.0,2010-09-23,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,2010-09-25 00:00:00,2010,9
2757.0,2011-07-19,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,2011-07-19 00:00:00,2011,7
2791.0,2009-10-09,High,47,191.67,0.0,Regular Air,-236.2675,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,2009-10-09 00:00:00,2009,10
2791.0,2009-10-09,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-DayÂ® Chair Series Swivel Task Chairs,Jumbo Drum,2009-10-11 00:00:00,2009,10
2791.0,2009-10-09,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,2009-10-10 00:00:00,2009,10
2976.0,2010-12-09,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troyâ¢ Executive Leather Low-Back Tilter,Jumbo Drum,2010-12-11 00:00:00,2010,12
3232.0,2012-10-08,Critical,5,42.66,0.06,Regular Air,-11.833499999999999,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLifeÂ® ClearVueâ¢ Slant-DÂ® Ring Binders by Cardinal,Small Box,2012-10-10 00:00:00,2012,10
3524.0,2012-05-02,High,21,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,2012-05-03 00:00:00,2012,5
3908.0,2010-03-08,Medium,8,820.284,0.0,Regular Air,-180.202,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,2010-03-08 00:00:00,2010,3
4132.0,2011-05-28,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,2011-05-30 00:00:00,2011,5
4612.0,2010-09-19,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapowerâ¢ Portable Vacuum,Large Box,2010-09-21 00:00:00,2010,9
4676.0,2011-08-31,High,11,1210.0514999999998,0.04,Regular Air,-104.24700000000007,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,2011-09-01 00:00:00,2011,8
4676.0,2011-08-31,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,2011-09-02 00:00:00,2011,8
4676.0,2011-08-31,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,2011-09-02 00:00:00,2011,8
4676.0,2011-08-31,High,30,4253.009,0.01,Regular Air,1115.694,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,2011-09-01 00:00:00,2011,8
5284.0,2011-07-08,Not Specified,7,59.38,0.1,Regular Air,-3.0475,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ® Ring Binder, Heavy Gauge Vinyl",Small Box,2011-07-10 00:00:00,2011,7
5316.0,2009-01-30,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,2009-02-01 00:00:00,2009,1
5409.0,2012-01-08,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,2012-01-13 00:00:00,2012,1
5506.0,2010-11-07,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,2010-11-08 00:00:00,2010,11
5569.0,2010-04-29,Not Specified,12,118.97,0.09,Regular Air,-0.05999999999999517,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressionsâ¢ Desk Accessory, Wood Pencil Holder, Oak",Small Box,2010-05-01 00:00:00,2010,4
5607.0,2011-12-31,Not Specified,8,61.871500000000005,0.0,Regular Air,-50.325,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,2012-01-03 00:00:00,2011,12
5894.0,2009-08-12,High,7,384.33,0.1,Regular Air,87.6775,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,2009-08-13 00:00:00,2009,8
5894.0,2009-08-12,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,2009-08-15 00:00:00,2009,8
5925.0,2011-11-12,Low,44,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,2011-11-19 00:00:00,2011,11
5925.0,2011-11-12,Low,25,1733.3625,0.07,Regular Air,-267.014,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,2011-11-19 00:00:00,2011,11
6016.0,2012-01-20,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creationsâ¢ Ink Jet Cards and Labels,Small Box,2012-01-20 00:00:00,2012,1
6116.0,2009-03-20,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,2009-03-22 00:00:00,2009,3
6182.0,2012-07-21,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,2012-07-28 00:00:00,2012,7
6182.0,2012-07-21,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,2012-07-25 00:00:00,2012,7
6535.0,2012-06-12,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,2012-06-15 00:00:00,2012,6
6884.0,2009-01-15,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,2009-01-20 00:00:00,2009,1
6884.0,2009-01-15,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,2009-01-20 00:00:00,2009,1
6916.0,2010-06-04,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Filesâ¢,Small Box,2010-06-08 00:00:00,2010,6
6980.0,2010-02-18,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,2010-02-19 00:00:00,2010,2
6982.0,2011-11-16,Not Specified,32,1311.25,0.0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,2011-11-18 00:00:00,2011,11
6982.0,2011-11-16,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,2011-11-18 00:00:00,2011,11
6982.0,2011-11-16,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,2011-11-18 00:00:00,2011,11
7110.0,2011-08-07,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,2011-08-11 00:00:00,2011,8
7430.0,2010-06-08,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,2010-06-09 00:00:00,2010,6
7906.0,2009-10-17,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,2009-10-17 00:00:00,2009,10
8391.0,2011-08-28,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,2011-08-29 00:00:00,2011,8
8419.0,2011-09-29,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,2011-10-01 00:00:00,2011,9
8419.0,2011-09-29,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,2011-09-30 00:00:00,2011,9
8833.0,2012-05-04,Low,40,3338.98,0.0,Regular Air,-846.73,80.98,35,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,2012-05-08 00:00:00,2012,5
8995.0,2011-05-17,High,5,24.16,0.08,Express Air,8.0495,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,StaplesÂ® General Use 3-Ring Binders,Small Box,2011-05-18 00:00:00,2011,5
8995.0,2011-05-17,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,2011-05-18 00:00:00,2011,5
8995.0,2011-05-17,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,2011-05-18 00:00:00,2011,5
8995.0,2011-05-17,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,2011-05-18 00:00:00,2011,5
8995.0,2011-05-17,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,2011-05-19 00:00:00,2011,5
9126.0,2009-11-17,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocketâ¢ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,2009-11-18 00:00:00,2009,11
9127.0,2011-10-10,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,2011-10-12 00:00:00,2011,10
9509.0,2012-10-07,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagodaâ¢ Round Back Stacking Chairs,Jumbo Drum,2012-10-08 00:00:00,2012,10
9509.0,2012-10-07,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,2012-10-08 00:00:00,2012,10
9509.0,2012-10-07,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,2012-10-07 00:00:00,2012,10
9763.0,2011-08-13,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,2011-08-16 00:00:00,2011,8
9927.0,2011-08-16,High,32,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,2011-08-17 00:00:00,2011,8
9927.0,2011-08-16,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantageâ¢ Folding Chairs, 4/Carton",Large Box,2011-08-17 00:00:00,2011,8
9927.0,2011-08-16,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,2011-08-17 00:00:00,2011,8
10022.0,2009-03-04,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,2009-03-04 00:00:00,2009,3
10437.0,2009-08-18,Critical,50,820.52,0.01,Regular Air,-191.222,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,2009-08-20 00:00:00,2009,8
10499.0,2010-11-16,Not Specified,29,6250.936000000001,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,2010-11-17 00:00:00,2010,11
10535.0,2011-05-27,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"LindenÂ® 12"" Wall Clock With Oak Frame",Small Box,2011-05-29 00:00:00,2011,5
10535.0,2011-05-27,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,2011-06-03 00:00:00,2011,5
10789.0,2010-08-23,Not Specified,15,308.54,0.0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,2010-08-24 00:00:00,2010,8
10791.0,2011-08-19,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,2011-08-21 00:00:00,2011,8
10945.0,2012-01-03,Medium,14,1170.025,0.04,Regular Air,4.221000000000011,95.99,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,2012-01-05 00:00:00,2012,1
11137.0,2012-11-29,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,2012-11-30 00:00:00,2012,11
11202.0,2012-03-17,Medium,8,339.81,0.05,Regular Air,79.5855,43.41,2.99,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,2012-03-18 00:00:00,2012,3
11456.0,2010-04-12,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,2010-04-19 00:00:00,2010,4
11460.0,2010-08-24,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,2010-08-26 00:00:00,2010,8
11495.0,2011-07-04,High,6,965.69,0.0,Delivery Truck,-144.198,146.34,43.75,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,2011-07-05 00:00:00,2011,7
11911.0,2010-11-10,Critical,25,397.84,0.0,Regular Air,-14.7545,15.22,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loopâ¢ Wire Binding Elements, 9/16"" Spine, Black",Small Box,2010-11-12 00:00:00,2010,11
11941.0,2010-06-24,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,2010-06-25 00:00:00,2010,6
11941.0,2010-06-24,Critical,26,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,2010-06-25 00:00:00,2010,6
12096.0,2012-09-19,Medium,46,8009.592499999999,0.02,Regular Air,2332.395,200.99,8.08,Michelle Lonsdale,Northwest Territories,Northwest Territories,Home Office,Technology,Telephones and Communication,5125,Small Box,2012-09-19 00:00:00,2012,9
